Sl.No,Year,Name of State/UT,Stat_Code,Human Lives Lost Nos.,"Total Damages Crops,Houses & Public Utilities (Rs. Crore)"
1,2016,Andhra Pradesh,28,3,0
2,2016,Arunachal Pradesh,12,42,0
3,2016,Assam,18,36,17.89
4,2016,Bihar,10,254,528.762
5,2016,Chattisgarh,22,0,0
6,2016,Goa,30,0,0
7,2016,Gujarat,24,99,0
8,2016,Haryana,6,2,522.447
9,2016,Himachal Pradesh,2,40,45.12
10,2016,Jammu & Kashmir,1,3,0
11,2016,Jharkhand,20,0,0
12,2016,Karnataka,29,63,2012.81
13,2016,Kerala,32,66,42.68
14,2016,Madhya Praadesh,23,327,207.86
15,2016,Maharashtra,27,145,0
16,2016,Manipur,14,0,0
17,2016,Meghalaya,17,4,62.529
18,2016,Mizoram,15,0,1.79
19,2016,Nagaland,13,0,0
20,2016,Odisha,21,3,31.295
21,2016,Punjab,3,13,1.66
22,2016,Rajasthan,8,129,1199.113
23,2016,Sikkim,11,0,0
24,2016,Tamilnadu,33,0,0
25,2016,Tripura,16,3,89.357
26,2016,Uttar Pradesh,9,74,123.776
27,2016,Uttarakhand,5,114,788.237
28,2016,West Bengal,19,0,0
29,2016,A & N Island,35,0,0
30,2016,Chandigarh,4,0,Nil
31,2016,D & N Haveli,26,0,Nil
32,2016,Daman & Diu,25,0,0
33,2016,Delhi,7,0,0
34,2016,Lakshadweep,31,0,0
35,2016,Puduchcherry,34,0,0
